,title,originallink,link,description,pubDate
2,“대출조회 다 안뜨면 ‘잇다’서 햇살론 신청” <b>핀테크</b>-서민금융 연계 본격화,https://news.heraldcorp.com/view.php?ud=20240712050266,https://n.news.naver.com/mnews/article/016/0002334740?sid=101,"신용 악화로 1·2금융권에서도 대출받지 못하는 취약차주가 불법 사금융으로 빠지는 것을 방지하기 위해 서민금융진흥원과 <b>핀테크</b> 플랫폼들이 머리를 맞댄다. 12일 금융권에 따르면, 서금원은 16일 민간 플랫폼 담당자... ","Fri, 12 Jul 2024 11:02:00 +0900"
3,"웹케시글로벌, 베트남우리은행과 ‘베트남 전자 금융 서비스’ 출시",http://www.g-enews.com/ko-kr/news/article/news_all/2024071210415511868385735ff1_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/2024071210415511868385735ff1_1/article.html,앞으로 양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 B2B <b>핀테크</b> 플랫폼 △가상계좌 청구... 이실권 웹케시글로벌 대표는 &quot;베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌의 우수한 B2B... ,"Fri, 12 Jul 2024 11:02:00 +0900"
4,"웹케시글로벌, 베트남우리은행과 ‘베트남 전자 금융 서비스’",https://www.megaeconomy.co.kr/news/newsview.php?ncode=1065577320061614,https://www.megaeconomy.co.kr/news/newsview.php?ncode=1065577320061614,앞으로 양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 B2B <b>핀테크</b> 플랫폼(▲가상계좌 청구 수납 전문 솔루션 ‘WeBill365’ ▲베트남 경비 지출 관리 솔루션 ‘WABOOKS’ ▲전자세금계산서 발행 솔루션... ,"Fri, 12 Jul 2024 10:46:00 +0900"
5,"웹케시글로벌, 베트남우리은행과 '베트남 전자 금융 서비스' 출시",https://www.etnews.com/20240712000083,https://n.news.naver.com/mnews/article/030/0003222815?sid=105,양사는 해당 서비스 도입 기업 규모에 따라 업무별로 특화된 기업용(B2B) <b>핀테크</b> 플랫폼(△가상계좌 청구... 이실권 웹케시글로벌 대표는 “베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌의 우수한 B2B... ,"Fri, 12 Jul 2024 10:46:00 +0900"
6,"웹케시글로벌, 베트남우리은행과 '베트남 전자 금융 서비스' 출시",http://www.intn.co.kr/news/articleView.html?idxno=2036976,http://www.intn.co.kr/news/articleView.html?idxno=2036976,앞으로 양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 B2B <b>핀테크</b> 플랫폼(△가상계좌 청구... 이실권 웹케시글로벌 대표는 &quot;베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌의 우수한 B2B... ,"Fri, 12 Jul 2024 10:44:00 +0900"
7,웹케시글로벌·베트남우리은행 '베트남 전자 금융 서비스' 출시,http://www.smedaily.co.kr/news/articleView.html?idxno=297223,http://www.smedaily.co.kr/news/articleView.html?idxno=297223,앞으로 양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 B2B <b>핀테크</b> 플랫폼(가상계좌 청구... 이실권 웹케시글로벌 대표는 &quot;베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌의 우수한 B2B... ,"Fri, 12 Jul 2024 10:36:00 +0900"
8,"선문대, 한국<b>핀테크</b>연합회와 메타 플랫폼 전문가 양성 업무 협약",https://news.unn.net/news/articleView.html?idxno=565889,https://news.unn.net/news/articleView.html?idxno=565889,"<b>핀테크</b>연합회, 유큐브는 메타 플랫폼 실무 인재 양성을 위해 협약을 체결했다. 맨 왼쪽 홍준영 의장, 가운데 이현 교수.  선문대학교(총장 문성제)는 10일 선문대 아산캠퍼스 에듀테크 플라자에서 한국<b>핀테크</b>연합... ","Fri, 12 Jul 2024 10:32:00 +0900"
9,"[금주의 금융인] 5년 만에 토스 만난 신한금융 진옥동 회장, 그의 당부는",https://www.fetv.co.kr/news/article.html?no=170095,https://www.fetv.co.kr/news/article.html?no=170095,"신한금융과 토스가 2019년 치열한 논의 끝에 갈라서기로 결정했지만, 5년 뒤 당시 진 행장은 그룹 회장으로, 이 대표는 ‘<b>핀테크</b> 공룡’ 수장으로 다시 한번 한 자리에서 만나게 된 셈이다. 진 회장이 이 대표를... ","Fri, 12 Jul 2024 10:30:00 +0900"
0,베트남 기업들 금융정보를 실시간으로 받아본다,http://www.fnnews.com/news/202407121028056841,https://n.news.naver.com/mnews/article/014/0005212546?sid=105,앞으로 양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 B2B <b>핀테크</b> 플랫폼도 함께 제공키로... 또 이실권 웹케시글로벌 대표는 &quot;베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌의 우수한... ,"Fri, 12 Jul 2024 10:30:00 +0900"
1,"웹케시글로벌, 전자 금융 서비스로 베트남 고객 확보",https://zdnet.co.kr/view/?no=20240712100907,https://n.news.naver.com/mnews/article/092/0002338101?sid=105,앞으로 양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 기업간거래(B2B) <b>핀테크</b> 플랫폼인... 이실권 웹케시글로벌 대표는 &quot;베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌의 우수한 B2B... ,"Fri, 12 Jul 2024 10:21:00 +0900"
2,"웹케시글로벌, 베트남우리은행과 ‘베트남 전자 금융 서비스’ 출시",https://www.ddaily.co.kr/page/view/2024071210103937230,https://n.news.naver.com/mnews/article/138/0002177461?sid=105,앞으로 양사는 해당 서비스 도입 기업 규모에 따라 업무별 특화된 기업간거래(B2B) <b>핀테크</b> 플랫폼도 함께... 이실권 웹케시글로벌 대표는 “베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌 B2B <b>핀테크</b>... ,"Fri, 12 Jul 2024 10:14:00 +0900"
3,"웹케시글로벌, 베트남우리은행과 '베트남 전자 금융 서비스' 출시",http://www.koit.co.kr/news/articleView.html?idxno=123820,http://www.koit.co.kr/news/articleView.html?idxno=123820,앞으로 양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 B2B <b>핀테크</b> 플랫폼(△가상계좌 청구... 이실권 웹케시글로벌 대표는 &quot;베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌의 우수한... ,"Fri, 12 Jul 2024 10:12:00 +0900"
4,"웹케시글로벌-베트남우리은행, '베트남 전자 금융 서비스' 론칭",http://www.efnews.co.kr/news/articleView.html?idxno=113289,http://www.efnews.co.kr/news/articleView.html?idxno=113289,앞으로 양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 B2B <b>핀테크</b> 플랫폼도 함께 제공할... 이실권 웹케시글로벌 대표는 &quot;베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌의 우수한 B2B... ,"Fri, 12 Jul 2024 10:12:00 +0900"
5,"웹케시글로벌, 베트남우리은행과 현지 전자금융 서비스 출시",http://www.hansbiz.co.kr/news/articleView.html?idxno=702657,http://www.hansbiz.co.kr/news/articleView.html?idxno=702657,앞으로 양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 B2B <b>핀테크</b> 플랫폼(△가상계좌 청구... 이실권 웹케시글로벌 대표는 &quot;베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌의 우수한 B2B... ,"Fri, 12 Jul 2024 09:58:00 +0900"
6,"웹케시글로벌, 베트남우리은행과 ‘베트남 전자 금융 서비스’ 출시",http://www.datanews.co.kr/news/article.html?no=133617,http://www.datanews.co.kr/news/article.html?no=133617,앞으로 양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 B2B <b>핀테크</b> 플랫폼(가상계좌 청구 수납... 이실권 웹케시글로벌 대표는 “베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌의 우수한... ,"Fri, 12 Jul 2024 09:50:00 +0900"
7,"웹케시글로벌, 베트남우리은행과 '베트남 전자 금융 서비스' 출시",https://www.newsis.com/view/NISX20240712_0002808609,https://n.news.naver.com/mnews/article/003/0012662752?sid=105,앞으로 양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 B2B <b>핀테크</b> 플랫폼 가상계좌 청구... 이실권 웹케시글로벌 대표는 “베트남 전자 금융 서비스는 베트남 <b>핀테크</b> 시장에서 웹케시글로벌의 우수한 B2B... ,"Fri, 12 Jul 2024 09:48:00 +0900"
8,[손에 잡히는 재테크] ​​​​짠순이·짠돌이 주목…현명한 ‘앱테크’ 활용...,https://biz.sbs.co.kr/article_hub/20000181293?division=NAVER,https://n.news.naver.com/mnews/article/374/0000392377?sid=101,"MZ세대 사이에서 ‘무지출 챌린지’가 붐을 이루면서 <b>핀테크</b> 업체들도 트렌드를 반영한 앱테크 미션들을 출시하고 있다는데, 이건 어떻게 도전할 수 있는 건가요? - 대세 된 '무지출 챌린지'…돈 안 쓰면서 돈 벌어볼까... ","Fri, 12 Jul 2024 09:41:00 +0900"
9,"웹케시글로벌, 베트남우리은행과 '베트남 전자 금융 서비스' 출시",https://www.datanet.co.kr/news/articleView.html?idxno=195001,https://www.datanet.co.kr/news/articleView.html?idxno=195001,양사는 해당 서비스 도입 기업의 규모에 따라 업무별로 특화된 B2B <b>핀테크</b> 플랫폼도 함께 제공할 계획이다. 베트남 소재 기업이 전자 금융 서비스를 도입할 경우 자금 흐름과 비즈니스 업무 프로세스를 자동화할 수 있어... ,"Fri, 12 Jul 2024 09:40:00 +0900"
0,‘2024 다날 X 서울스타트업 오픈이노베이션’ 참가 스타트업 모집,https://www.tokenpost.kr/article-186571,https://www.tokenpost.kr/article-186571,"모집 분야는 <b>핀테크</b>, AI &amp; Tech, 수출/유통/마케팅 등 총 3개 분야이다. 선정 기업에는 현장실증 기회, 사업화... 다날 관계자는 “다날은 결제서비스 전문기업으로서의 높은 기술력뿐만 아니라 <b>핀테크</b>, 로봇테크, 유통 등의... ","Fri, 12 Jul 2024 09:22:00 +0900"
1,"[더벨]SG PE, 리가켐바이오 엑시트 완료 'IRR 21.3% 잭팟'",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202407111006025120103641,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202407111006025120103641,"구조조정 투자로 시작해 게임·<b>핀테크</b>·헬스케어·공유경제 등 다양한 섹터에서의 바이아웃, 그로쓰캐피털 투자로 외연을 확대하는 전략이 통했다는 평가다. 향후 국내 바이오 기업들이 VC뿐 아니라 PE로부터 투자... ","Fri, 12 Jul 2024 08:02:00 +0900"
2,"광주·경남·부산은행, 리테일 대신 기업금융·모바일 강화...달라진 지방은행...",http://www.consumernews.co.kr/news/articleView.html?idxno=710135,http://www.consumernews.co.kr/news/articleView.html?idxno=710135,"그룹 관계사인 전북은행(행장 백종일)은 <b>핀테크</b>사와의 제휴 및 수도권 외국인 고객 대상 틈새 시장 공략에 적극적이다. JB금융그룹과 전략적 제휴 관계인 <b>핀테크</b> '핀다'에서 햇살론뱅크, 자동자담보대출 상품 등을... ","Fri, 12 Jul 2024 07:16:00 +0900"
3,"카드사, BNPL 서비스 '답보'…&quot;아직은 시기상조&quot;",http://www.metroseoul.co.kr/article/20240711500546,http://www.metroseoul.co.kr/article/20240711500546,"통상 BNPL은 월 한도가 30만원으로 소액으로 분류되지만, 일부 <b>핀테크</b>사를 중심으로 운영하고 있는 만큼 수요를 가늠하기 어렵다는 것. 연체율 악화와 직접적인 관계가 있는 사업인 만큼 업황개선까지 기다리겠다는... ","Fri, 12 Jul 2024 07:00:00 +0900"
4,회원사 입장 대변에 바쁜 '3자 협의체'…'실패 오명' 보험 비교·추천,https://www.news1.kr/finance/insurance-card/5474011,https://n.news.naver.com/mnews/article/421/0007658702?sid=101,"보험사와 <b>핀테크</b> 간의 이견으로 삐거덕거렸고, 출시 이후에도 수수료 문제로 혼란이 가중돼 소비자들에게... 3자 협의체는 지난해 11월 22개 생명보험사와 18개 손해보험사, 11개 <b>핀테크</b>사가 ‘플랫폼 보험상품 비교·추천... ","Fri, 12 Jul 2024 06:40:00 +0900"
5,인증 복잡하고 오류 많은 '앱카드' 소비자 외면,http://www.newstomato.com/ReadNews.aspx?no=1234951&inflow=N,http://www.newstomato.com/ReadNews.aspx?no=1234951&inflow=N,"앱카드, 접근성·안정성 떨어져 11일 금융권에 따르면 카드사 앱카드(카드사 결제앱)는 <b>핀테크</b>·휴대폰... 예를 들어 KBpay의 경우 <b>핀테크</b> 페이와 동일하게 GS25, CU 등 국내 주요 편의점 업체 대부분이 제휴사에 등록돼 있는... ","Fri, 12 Jul 2024 06:02:00 +0900"
6,&quot;그간 고생했다. 이제 손잡자&quot;…토스뱅크가 '이 은행' 찾아간 이유는?,https://www.sedaily.com/NewsView/2DBPM2PTYP,https://n.news.naver.com/mnews/article/011/0004365478?sid=101,지방을 넘어 전국으로 서비스를 확대하고 전통적인 영업망을 확보해야 하는 것은 각각 지방은행과 <b>핀테크</b>... 협력 모델은 지방은행·<b>핀테크</b>로 국한되지 않는다. 시중은행도 협력에 나설 수 있다는 의미다. 최근... ,"Fri, 12 Jul 2024 05:31:00 +0900"
7,“쉽고 간편해요”… 한국 금융 서비스에 엄지척,https://www.chosun.com/economy/tech_it/2024/07/12/IILGAAW6XFDJ5G7D35WTWZIYZE/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003845725?sid=105,잘나가는 <b>핀테크</b> 기업들 인도 구글 앱마켓에서 ‘개인 대출(Personal Loan)’을 검색하면 가장 최상단에 뜨는 앱(App)은 ‘트루밸런스’이다. 누적 다운로드 수만 8000만건에 달한다. 이 앱을 개발한 기업은 한국 <b>핀테크</b>(금융... ,"Fri, 12 Jul 2024 00:32:00 +0900"
8,"[증권소식] 국내 기업 60%, 2분기 시가총액 감소/미공개 정보로 60억 챙긴 KB...",https://www.asiatime.co.kr/article/20240712500003,https://www.asiatime.co.kr/article/20240712500003,"주요 협력 분야는 선분양 아파트 구매자의 리스크 관리를 지원하는 혁신적 <b>핀테크</b> 솔루션 ‘헷지했지' 서비스 확대, 청년층, 신혼부부, 다자녀 가구에게 양질의 임대주택 공급을 통한 임대주택리츠 투자 펀드 추진... ","Fri, 12 Jul 2024 00:24:00 +0900"
9,USDC 발행사 서클 &quot;이메일 보내듯 쉽게 송금&quot;,https://decenter.kr/NewsView/2DBPL4T80P,https://decenter.kr/NewsView/2DBPL4T80P,<b>핀테크</b> 기업 ‘립(REAP)’과의 협력이 대표적이다. 이를테면 자금을 가상자산으로 보유하고 있는 기업은... 펠릭스는 왓츠앱 기반으로 미국과 멕시코 간 송금을 지원하는 <b>핀테크</b> 기업이다. 소액 송금이 대부분인데... ,"Fri, 12 Jul 2024 00:06:00 +0900"
0,USDC 발행사 서클 &quot;이메일 보내듯 쉽게 송금&quot;,https://decenter.kr/NewsView/2DBPL4T80P,https://decenter.kr/NewsView/2DBPL4T80P,<b>핀테크</b> 기업 ‘립(REAP)’과의 협력이 대표적이다. 이를테면 자금을 가상자산으로 보유하고 있는 기업은... 펠릭스는 왓츠앱 기반으로 미국과 멕시코 간 송금을 지원하는 <b>핀테크</b> 기업이다. 소액 송금이 대부분인데... ,"Fri, 12 Jul 2024 00:06:00 +0900"
1,"다날-SBA, 스타트업 육성 맞손...오픈이노베이션 참여기업 모집",http://news.mt.co.kr/mtview.php?no=2024071111181015098,https://n.news.naver.com/mnews/article/008/0005062746?sid=101,"모집 분야는 <b>핀테크</b>, 인공지능(AI) &amp; 기술(Tech), 수출·유통·마케팅 등 총 3개 분야다. 선정 기업에는 현장실증... 다날 관계자는 &quot;다날은 결제서비스 전문기업으로서의 높은 기술력뿐만 아니라 <b>핀테크</b>, 로봇테크, 유통 등의... ","Thu, 11 Jul 2024 22:10:00 +0900"
2,"iM뱅크, 중진공·산은과 회사채 430억 발행 추진",https://www.idaegu.co.kr/news/articleView.html?idxno=467812,https://www.idaegu.co.kr/news/articleView.html?idxno=467812,"계열사인 iM투자파트너스를 통한 스타트업 기업 직접 지원, '피움랩'을 통한 <b>핀테크</b> 기업 발굴 및 육성, 투자금융부를 통한 벤처기업 투자 등 중소기업과 창업 초기 유망기업을 적극 지원해온 데 이어 시중은행 전환을... ","Thu, 11 Jul 2024 21:34:00 +0900"
3,"iM뱅크, 시중은행 전환에 따른 사회적 책임 강화...중소기업 지원",https://www.gukjenews.com/news/articleView.html?idxno=3041640,https://www.gukjenews.com/news/articleView.html?idxno=3041640,"또한, iM뱅크는 &quot;창립 이래 중소기업을 위한 다양한 지원책을 진행해온 계열사인 iM투자파트너스를 통한 스타트업 기업 직접 지원, 피움랩을 통한 <b>핀테크</b> 기업 발굴 및 육성, 투자금융부를 통한 벤처기업 투자 등... ","Thu, 11 Jul 2024 21:24:00 +0900"
4,"잭 도시의 블록, 코어 사이언티픽에 3nm 채굴 ASIC 공급",https://www.tokenpost.kr/article-186454,https://www.tokenpost.kr/article-186454,"블록의 채굴로의 전환 잭 도시의 블록은 업계에서 가장 큰 <b>핀테크</b> 기업 중 하나다. 이 회사는 스퀘어(Square)와 캐시 앱(Cash App)과 같은 인기 있는 결제 게이트웨이를 운영하고 있지만, 2021년부터 글로벌 칩 부족... ","Thu, 11 Jul 2024 20:52:00 +0900"
5,"두나무, 11월 블록체인 컨퍼런스 'UDC' 개최",https://news.tvchosun.com/site/data/html_dir/2024/07/11/2024071190169.html,https://n.news.naver.com/mnews/article/448/0000466870?sid=101,블록체인 및 <b>핀테크</b> 전문기업 두나무는 '업비트 D 컨퍼런스(UDC)'를 오는 11월 14일 서울 장충동 신라호텔에서 개최한다고 11일 발표했다. 올해 7회째를 맞는 UDC는 두나무가 블록체인 생태계 육성과 확장에 기여하고자... ,"Thu, 11 Jul 2024 18:53:00 +0900"
6,"하나금융, 금융감독원과 함께 ‘상생금융’ 실천",https://sports.donga.com/article/all/20240711/125892839/1,https://n.news.naver.com/mnews/article/382/0001137793?sid=101,"올해는 영국 <b>핀테크</b> 기업과 스타트업 육성교육 기관, 글로벌 금융기관 등을 견학한다. 또 수료자 전원에게 하나금융 입사 지원 시 우대 혜택을 제공한다. 프로젝트 최종 참여자 선발을 위한 ‘디지털 신기술 경진대회’... ","Thu, 11 Jul 2024 18:45:00 +0900"
7,"[파이낸스포커스] 지방 점포·비대면 한계, 동맹으로 넘는다",https://www.sedaily.com/NewsView/2DBP7VN169,https://n.news.naver.com/mnews/article/011/0004365393?sid=101,지방을 넘어 전국으로 서비스를 확대하고 전통적인 영업망을 확보해야 하는 것은 각각 지방은행과 <b>핀테크</b>... 협력 모델은 지방은행·<b>핀테크</b>로 국한되지 않는다. 시중은행도 협력에 나설 수 있다는 의미다. 최근... ,"Thu, 11 Jul 2024 18:15:00 +0900"
8,'신부님이 어쩐 일로…' 우리금융 디노랩센터 깜짝 손님 누구길래,http://news.mt.co.kr/mtview.php?no=2024070917030135705,https://n.news.naver.com/mnews/article/008/0005062713?sid=101,"아울러 <b>핀테크</b> 등 다양한 스타트업에 대한 기술평가와 함께 현지 산업동향을 발빠르게 파악, 그룹 내부에... 주요 <b>핀테크</b> 업체로 자리잡은 국내기업 인포플러스 등을 방문했다. 인포플러스는 2019년 문을 연 디노랩... ","Thu, 11 Jul 2024 18:10:00 +0900"
